Analyzer,Size_Date,Photo_date,Week,Treatment,Temp,pH,Trt_Rep,Photo_Rep,File_name,Juvenile_No,Area,Mean,Min,Max
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,9,812,80.698,45,142
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,10,1801,70.63,36,132
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,11,2811,76.583,44,142
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,12,687,85.694,53,141
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,13,239,73.628,53,128
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,14,941,68.384,40,132
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,15,1024,69.68,40,133
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,16,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,17,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,1,828,77.802,41,144
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,2,1141,64.719,32,129
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,3,284,68.782,44,106
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,4,814,60.59,40,120
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,5,1975,78.037,41,145
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,6,528,83.572,54,131
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,7,1291,74.198,35,122
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,3,AA2_x4_3,8,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,1,AA3_x4_1,1,843,68.496,31,134
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,1,AA3_x4_1,2,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,1,678,60.323,36,122
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,2,1358,79.955,42,138
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,3,659,62.303,42,102
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,4,1117,91.575,47,178
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,5,639,74.124,43,123
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,2,AA3_x4_2,6,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,3,3,AA3_x4_3,0,0,0,0,0
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,1,AA4_x4_1,1,682,70.798,41,124
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,1,AA4_x4_1,2,487,62.329,33,107
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,1,AA4_x4_1,3,1335,68.135,29,144
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,1,AA4_x4_1,4,1297,66.188,28,129
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,1,AA4_x4_1,5,1373,58.255,23,112
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,1,453,60.055,35,109
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,2,539,88.516,52,145
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,3,1146,70.173,36,137
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,4,347,61.49,33,102
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,5,469,54.693,28,100
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,6,168,78.363,42,132
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,7,308,74.133,44,129
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,8,934,70.57,39,133
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,9,928,54.394,26,126
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,2,AA4_x4_2,10,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,1,550,86.142,51,130
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,2,354,68.941,42,109
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,3,438,80.155,45,115
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,4,443,81.646,49,127
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,5,1515,74.32,41,135
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,6,1137,67.772,30,124
ARK,4/28/20,10/19/17,Week3,AA,cold,low,4,3,AA4_x4_3,7,NA,NA,NA,NA
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,1,AA5_x4_1,1,604,74.055,31,139
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,1,759,70.26,23,155
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,2,619,60.769,21,121
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,3,566,62.618,20,101
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,4,1168,62.505,21,115
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,5,767,57.686,23,124
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,6,1178,70.607,26,124
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,7,951,71.47,24,131
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,8,1007,68.357,19,133
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,9,1129,73.465,29,130
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,2,AA5_x4_2,10,522,68.021,33,130
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,3,AA5_x4_3,1,545,75.09,34,139
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,3,AA5_x4_3,2,1069,70.757,30,131
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,3,AA5_x4_3,3,918,84.301,51,141
ARK,4/28/20,10/19/17,Week3,AA,cold,low,5,3,AA5_x4_3,4,1373,83.78,43,155
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,1,AA6_x4_1,1,1027,82.252,49,141
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,1,AA6_x4_1,2,389,81.697,49,149
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,1,AA6_x4_1,3,831,73.874,37,132
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,1,AA6_x4_1,4,1593,76.08,45,139
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,1,AA6_x4_1,5,473,82.67,45,150
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,2,AA6_x4_2,1,1031,75.736,42,123
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,2,AA6_x4_2,2,770,89.097,60,124
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,2,AA6_x4_2,3,1174,74.963,37,124
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,2,AA6_x4_2,4,670,86.227,58,128
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,2,AA6_x4_2,5,692,75.302,40,127
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,1,927,56.176,27,134
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,2,959,81.527,34,140
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,3,1230,86.472,48,152
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,4,1384,83.152,38,152
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,5,914,83.251,43,144
ARK,5/6/20,10/19/17,Week3,AA,cold,low,6,3,AA6_x4_3,6,518,84.641,55,129
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,1,AA7_x4_1,1,1299,82.728,47,148
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,1,AA7_x4_1,2,731,62.844,34,127
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,1,AA7_x4_1,3,1025,61.527,28,125
,5/6/20,10/19/17,Week3,AA,cold,low,7,1,AA7_x4_1,4,1091,75.794,35,143
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,1,603,79.756,43,138
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,2,578,80.491,45,140
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,3,864,84.773,45,159
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,4,1043,69.623,37,118
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,5,270,76.822,40,124
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,6,464,67.769,35,123
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,2,AA7_x4_2,7,2744,81.094,36,143
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,1,647,78.379,46,132
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,2,439,67.615,40,138
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,3,1180,76.492,38,124
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,4,477,77.516,47,142
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,5,507,76.69,41,120
ARK,5/6/20,10/19/17,Week3,AA,cold,low,7,3,AA7_x4_3,6,NA,NA,NA,NA
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,1,AA8_x4_1,1,564,63.72,31,105
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,1,AA8_x4_1,2,580,59.095,33,116
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,2,AA8_x4_2,1,1639,71.929,40,133
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,2,AA8_x4_2,2,476,70.45,41,114
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,2,AA8_x4_2,3,519,71.424,41,126
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,2,AA8_x4_2,4,524,58.813,31,114
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,2,AA8_x4_2,5,425,56.4,33,99
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,3,AA8_x4_3,1,461,83.651,48,145
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,3,AA8_x4_3,2,1652,76.378,39,150
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,3,AA8_x4_3,3,669,63.706,30,126
ARK,5/6/20,10/19/17,Week3,AA,cold,low,8,3,AA8_x4_3,4,586,83.546,55,135
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,1,1157,71.768,31,145
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,2,440,83.877,46,150
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,3,800,69.14,34,119
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,4,829,70.039,29,117
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,5,1185,64.277,27,127
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,6,765,71.101,42,129
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,7,1155,74.066,45,110
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,8,678,65.991,40,119
,5/6/20,10/19/17,Week3,AA,cold,low,9,1,AA9_x4_1,9,406,86.929,62,121
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,2,AA9_x4_2,1,1282,69.941,26,147
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,2,AA9_x4_2,2,574,80.462,35,141
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,2,AA9_x4_2,3,478,91.669,51,158
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,2,AA9_x4_2,4,523,76.258,48,148
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,1,1228,82.734,43,156
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,2,1032,72.041,32,142
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,3,482,76.712,46,125
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,4,921,73.993,26,137
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,5,443,76.359,36,132
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,6,1264,83.752,44,153
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,7,1905,79.064,40,147
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,8,750,56.024,26,138
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,9,1150,69.955,31,147
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,10,674,72.684,46,139
ARK,5/6/20,10/19/17,Week3,AA,cold,low,9,3,AA9_x4_3,11,1134,77.539,33,133
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,1,789,71.404,39,136
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,2,1066,68.198,34,140
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,3,1613,84.503,43,158
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,4,926,58.575,32,111
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,5,626,89.976,50,140
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,1,AA10_x4_1,6,438,93.381,52,134
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,2,AA10_x4_2,1,520,81.369,46,131
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,3,AA10_x4_3,1,529,82.879,45,120
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,3,AA10_x4_3,2,1011,59.772,28,131
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,3,AA10_x4_3,3,987,85.622,43,139
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,3,AA10_x4_3,4,321,96.249,58,161
ARK,5/6/20,10/19/17,Week3,AA,cold,low,10,3,AA10_x4_3,5,354,58.04,39,126
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,1,AB1_x4_1,1,1337,79.069,47,129
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,1,AB1_x4_1,2,733,70.225,37,109
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,1,AB1_x4_1,3,380,85.905,55,120
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,1,731,77.516,45,153
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,2,726,69.127,38,127
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,3,636,52.495,33,114
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,4,814,58.301,33,132
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,5,182,68.115,40,117
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,6,442,111.357,75,179
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,7,485,76.447,40,128
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,2,AB1_x4_2,8,380,90.974,61,139
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,1,886,58.878,26,100
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,2,1033,58.573,27,105
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,3,1662,62.341,32,108
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,4,1346,65.426,28,119
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,5,1172,68.328,31,127
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,6,863,60.82,33,123
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,7,1348,72.399,33,135
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,8,511,80.534,55,118
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,9,969,76.507,39,135
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,10,1034,64.571,34,107
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,11,686,67.803,29,131
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,12,1543,74.187,29,142
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,13,1147,76.54,39,134
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,14,929,79.955,44,130
ARK,6/19/20,10/19/17,Week3,AB,cold,high,1,3,AB1_x4_3,15,NA,NA,NA,NA
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,1,918,80.017,51,134
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,2,778,81.053,49,145
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,3,787,66.872,34,120
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,4,821,60.348,36,120
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,5,1770,60.314,28,118
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,6,661,61.126,27,120
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,1,AB2_x4_1,7,378,62.585,35,125
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,2,AB2_x4_2,1,924,67.212,32,106
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,2,AB2_x4_2,2,699,76.127,44,140
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,2,AB2_x4_2,3,418,99.33,62,172
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,2,AB2_x4_2,4,458,74.028,40,121
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,2,AB2_x4_2,5,1152,83.336,47,149
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,3,AB2_x4_3,1,1521,70.814,35,138
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,3,AB2_x4_3,2,1180,56.248,20,115
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,3,AB2_x4_3,3,1112,64.445,39,108
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,3,AB2_x4_3,4,1017,63.274,35,104
ARK,6/19/20,10/19/17,Week3,AB,cold,high,2,3,AB2_x4_3,5,840,59.52,36,119
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,1,589,72.025,45,125
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,2,435,66.283,37,100
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,3,827,76.734,41,115
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,4,838,76.681,39,136
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,5,1428,65.474,33,110
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,6,432,70.887,45,94
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,7,1190,77.599,46,126
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,8,1033,71.77,39,121
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,9,1196,74.304,40,138
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,1,AB3_x4_1,10,1542,71.241,27,138
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,1,1703,65.203,24,134
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,2,618,72.827,40,125
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,3,483,57.909,27,114
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,4,1360,60.75,25,126
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,5,526,78.036,40,132
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,6,1068,47.859,19,109
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,2,AB3_x4_2,7,1040,42.995,23,96
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,1,1185,92.807,45,182
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,2,1394,74.339,31,158
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,3,1103,58.581,33,117
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,4,1291,78.603,38,151
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,5,1260,72.09,36,149
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,6,2110,76.617,29,165
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,7,1226,69.936,29,161
ARK,6/19/20,10/19/17,Week3,AB,cold,high,3,3,AB3_x4_3,8,NA,NA,NA,NA
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,1,985,71.129,36,120
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,2,590,72.971,43,125
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,3,1253,60.115,27,105
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,4,359,63.067,38,106
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,5,1127,87.038,56,133
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,6,505,83.851,51,118
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,1,AB4_x4_1,7,384,74.294,51,114
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,2,AB4_x4_2,1,300,64.733,30,114
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,2,AB4_x4_2,2,573,81.141,51,133
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,2,AB4_x4_2,3,1327,79.136,47,141
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,2,AB4_x4_2,4,944,82.637,46,126
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,3,AB4_x4_3,1,557,80.919,54,126
ARK,6/19/20,10/19/17,Week3,AB,cold,high,4,3,AB4_x4_3,2,1337,77.408,51,144
