Date,Treatment,In_Out,pH_spec,pH_calc,DIC,pH_drift,DIC drift,Alkalinity,Treatment_temp_Nereo,Treatment_temp_Macro,Treatment_pH,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
10/2/2017,AA,Out,7.4,7.59,2178.4,0.09,-25.32226563,2089,,10,Low,8,33.90833333,10,1,0,7.59,5.04E-05,1141.016888,1145.432102,1141.016888,1145.432102,1141.016888,1145.432124,0.001972761,4.58E-05,0.002068924,0.002089,0.697060259,1.097970436
10/2/2017,BA,Out,7.53,7.65,2136.7,0.11,-32.23339844,2089,,20,Low,8,33.90833333,20,1,0,7.65,3.35E-05,1026.815342,1030.313809,1026.815342,1030.313809,1026.815342,1030.313823,0.001902796,7.44E-05,0.002010716,0.002089,1.164643413,1.795396055
10/4/2017,BB,In,7.699,7.83,2077.3,,,2077,,20,High,8,34,20,1,0,7.83,2.10E-05,644.4427943,646.6375292,644.4427943,646.6375292,644.4427943,646.6375346,0.001808052,0.000107299,0.001936349,0.002077,1.677763515,2.585961507
10/4/2017,AB,In,7.698,7.913,2077.7,,,2077,,10,High,8,34,10,1,0,7.913,2.24E-05,507.7266508,509.6899728,507.7266508,509.6899728,507.7266508,509.6899769,0.001847249,9.04E-05,0.001960034,0.002077,1.375601343,2.166402537
10/4/2017,AA,In,7.34,7.515,2197.4,,,2077,,10,Low,8,33.93,10,1,0,7.515,6.00E-05,1360.115278,1365.379553,1360.115278,1365.379553,1360.115278,1365.379583,0.001978724,3.87E-05,0.002077428,0.002077,0.588523101,0.92697132
10/4/2017,BA,In,7.34,7.515,2197.4,,,2077,,20,Low,8,33.93,20,1,0,7.515,4.65E-05,1426.883012,1431.74675,1426.883012,1431.74675,1426.883012,1431.746776,0.001937842,5.56E-05,0.002039941,0.002077,0.86953967,1.340412984
10/4/2017,BB,Out,7.63,7.77,2102.6,0.04,-3.496923828,2077,,20,High,8,33.90833333,20,1,0,7.77,2.45E-05,752.9474249,755.5120013,752.9474249,755.5120013,752.9474249,755.5120088,0.001839351,9.49E-05,0.001958763,0.002077,1.484107221,2.287876461
10/4/2017,AB,Out,7.61,7.45,2109.6,-0.36,0.001367187,2077,,10,High,8,33.90833333,10,1,0,7.45,7.02E-05,1590.304619,1596.461368,1590.304619,1596.461368,1590.304619,1596.461409,0.001991878,3.35E-05,0.002095586,0.002077,0.509868958,0.80311714
10/4/2017,AA,Out,7.32,7.494,2203.7,0.064,-22.65424805,2077,,10,Low,8,33.90833333,10,1,0,7.494,6.32E-05,1430.822261,1436.360629,1430.822261,1436.360629,1430.822261,1436.360662,0.001983208,3.69E-05,0.002083282,0.002077,0.561776981,0.884879762
10/4/2017,BA,Out,7.33,7.45,2201.3,0,0.749951172,2077,,20,Low,8,33.90833333,20,1,0,7.45,5.45E-05,1673.025131,1678.729466,1673.025131,1678.729466,1673.025131,1678.729503,0.001956151,4.83E-05,0.00205898,0.002077,0.755445417,1.164582829
10/6/2017,BB,In,7.66,7.8,2092.2,,,2092,,20,High,8,33.98,20,1,0,7.8,2.29E-05,701.8110995,704.2013648,701.8110995,704.2013648,701.8110995,704.2013713,0.001837466,0.000101719,0.001962055,0.002092,1.590679026,2.451829929
10/6/2017,AB,In,7.67,7.87,2085.6,,,2092,,10,High,8,33.98,10,1,0,7.87,2.52E-05,570.7171595,572.9242096,570.7171595,572.9242096,570.7171595,572.9242148,0.001880581,8.33E-05,0.001989067,0.002092,1.267917766,1.996887709
10/6/2017,AA,In,7.328,7.502,2201.2,,,2092,,10,Low,8,33.81,10,1,0,7.502,6.25E-05,1414.34147,1419.815947,1414.34147,1419.815947,1414.34147,1419.81598,0.001996243,3.77E-05,0.002096471,0.002092,0.574880479,0.905687372
10/6/2017,BA,In,7.35,7.526,2194.2,,,2092,,20,Low,8,33.81,20,1,0,7.526,4.57E-05,1399.832141,1404.603526,1399.832141,1404.603526,1399.832141,1404.603552,0.001949116,5.72E-05,0.002051959,0.002092,0.895082655,1.380108559
10/6/2017,BB,Out,7.68,7.822,2084.4,-0.008,7.099462891,2092,0.00525,20,High,8,33.90833333,20,1,0,7.822,2.16E-05,663.2644505,665.5233331,663.2644505,665.5233331,663.2644505,665.5233389,0.001826361,0.000106179,0.001954162,0.002092,1.661067751,2.560676043
10/6/2017,AB,Out,7.655,7.856,2093.6,-0.057,15.92104492,2092,,10,High,8,33.90833333,10,1,0,7.856,2.61E-05,591.5438018,593.8314433,591.5438018,593.8314433,591.5438018,593.831449,0.001886989,8.08E-05,0.001993902,0.002092,1.230170079,1.937695284
10/6/2017,AA,Out,7.388,7.568,2182.2,0.053,-15.2,2092,,10,Low,8,33.90833333,10,1,0,7.568,5.32E-05,1205.362534,1210.027063,1205.362534,1210.027063,1205.362534,1210.027086,0.001981072,4.37E-05,0.002077998,0.002092,0.665420138,1.048132681
10/6/2017,BA,Out,7.42,7.548,2172.1,0.033,-25.3,2092,,20,Low,8,33.90833333,20,1,0,7.548,4.32E-05,1325.298079,1329.815032,1325.298079,1329.815032,1325.298079,1329.815055,0.00194184,6.01E-05,0.002045115,0.002092,0.939754025,1.448710094
10/8/2017,BB,In,7.759,7.915,2054.3,,,2094,,20,High,8,33.88,20,1,0,7.915,1.70E-05,520.2470582,522.0185791,520.2470582,522.0185791,520.2470582,522.0185826,0.001774475,0.000127712,0.00191915,0.002094,1.998240328,3.080624285
10/8/2017,AB,In,7.739,7.942,2062.3,,,2094,,10,High,8,33.88,10,1,0,7.942,2.10E-05,475.6373702,477.4765425,475.6373702,477.4765425,475.6373702,477.4765462,0.001849367,9.65E-05,0.00196683,0.002094,1.468857707,2.313785443
10/8/2017,AA,In,7.374,7.553,2186.9,,,2094,,10,Low,8,33.81,10,1,0,7.553,5.53E-05,1251.708879,1256.553002,1251.708879,1256.553002,1251.708879,1256.553028,0.001986838,4.22E-05,0.002084383,0.002094,0.643467504,1.013741836
10/8/2017,BA,In,7.399,7.526,2179,,,2094,,20,Low,8,33.81,20,1,0,7.526,4.57E-05,1401.188904,1405.964922,1401.188904,1405.964922,1401.188904,1405.964948,0.001951005,5.72E-05,0.002053948,0.002094,0.895950199,1.381446207
10/8/2017,BB,Out,7.66,7.801,2092.2,0.001374823,0,2094,,20,High,8,33.90833333,20,1,0,7.801,2.29E-05,701.0142928,703.4018421,701.0142928,703.4018421,701.0142928,703.4018486,0.001839191,0.000101877,0.001963921,0.002094,1.593776793,2.456941355
10/8/2017,AB,Out,7.624,7.823,2105.1,-0.047314891,19.5,2094,,10,High,8,33.90833333,10,1,0,7.823,2.84E-05,643.476783,645.965402,643.476783,645.965402,643.476783,645.9654087,0.001902459,7.55E-05,0.002006367,0.002094,1.149505711,1.810637272
10/8/2017,AA,Out,7.348,7.524,2195.1,0.022094536,-6.1,2094,,10,Low,8,33.90833333,10,1,0,7.524,5.93E-05,1342.028414,1347.222582,1342.028414,1347.222582,1342.028414,1347.222612,0.001993169,3.97E-05,0.00209216,0.002094,0.60497853,0.952928432
10/8/2017,BA,Out,7.409,7.536,2175.9,0.010319829,-18.3,2094,,20,Low,8,33.90833333,20,1,0,7.536,4.45E-05,1366.425348,1371.08269,1366.425348,1371.08269,1366.425348,1371.082714,0.001947537,5.86E-05,0.002050687,0.002094,0.916825188,1.413363357
10/11/2017,BB,In,7.705,7.828,2074.2,,,2100,,20,High,8,34.03,20,1,0,7.828,2.13E-05,655.0376981,657.268542,655.0376981,657.268542,655.0376981,657.2685476,0.001829507,0.000108149,0.001958996,0.0021,1.690784464,2.605883211
10/11/2017,AB,In,7.706,7.909,2082.8,,,2100,,10,High,8,34.03,10,1,0,7.909,2.29E-05,518.6699319,520.6755941,518.6699319,520.6755941,518.6699319,520.6755985,0.001869921,9.07E-05,0.001983519,0.0021,1.380517483,2.174025286
10/11/2017,AA,In,7.341,7.517,2197.1,,,2100,,10,Low,8,33.86,10,1,0,7.517,6.05E-05,1369.112563,1374.411713,1369.112563,1374.411713,1369.112563,1374.411743,0.002000605,3.92E-05,0.002100274,0.0021,0.596964942,0.940391107
10/11/2017,BA,In,7.276,7.394,2217.9,,,2100,,20,Low,8,33.86,20,1,0,7.394,6.32E-05,1938.671565,1945.283628,1938.671565,1945.283628,1938.671565,1945.283677,0.001992216,4.32E-05,0.002098614,0.0021,0.675704303,1.041752409
10/11/2017,BB,Out,7.704,7.85,2074.8,-0.065,20.5,2100,,20,High,8,33.90833333,20,1,0,7.85,2.02E-05,619.0521059,621.1603089,619.0521059,621.1603089,619.0521059,621.1603139,0.001818139,0.00011274,0.00195106,0.0021,1.763712656,2.718911822
10/11/2017,AB,Out,7.686,7.888,2082.6,-0.054,20.3,2100,,10,High,8,33.90833333,10,1,0,7.888,2.42E-05,547.5741456,549.6916449,547.5741456,549.6916449,547.5741456,549.6916498,0.001880293,8.67E-05,0.001991133,0.0021,1.319535825,2.078459222
10/11/2017,AA,Out,7.389,7.569,2181.9,0.016477932,-5,2100,,10,Low,8,33.90833333,10,1,0,7.569,5.33E-05,1207.093957,1211.765194,1207.093957,1211.765194,1207.093957,1211.765218,0.001988491,4.40E-05,0.002085758,0.0021,0.669451821,1.054483163
10/11/2017,BA,Out,7.438,7.567,2166.4,0.041349343,-12.6,2100,,20,Low,8,33.90833333,20,1,0,7.567,4.14E-05,1269.412143,1273.738349,1269.412143,1273.738349,1269.412143,1273.73837,0.001943133,6.28E-05,0.002047314,0.0021,0.982433752,1.514504493
10/13/2017,BB,In,7.69,7.833,2081.1,,,2100,,20,High,8,33.90833333,20,1,0,7.833,2.11E-05,647.1039741,649.3077786,647.1039741,649.3077786,647.1039741,649.3077841,0.00182757,0.000108974,0.001957639,0.0021,1.704804931,2.628100596
10/13/2017,AB,In,7.66,7.861,2092.2,,,2100,,10,High,8,33.90833333,10,1,0,7.861,2.59E-05,586.391771,588.6594757,586.391771,588.6594757,586.391771,588.6594813,0.001892215,8.20E-05,0.002000062,0.0021,1.247860732,1.965560614
10/13/2017,AA,In,7.7558466,7.962,2055.6,,,2100,,10,Low,8,33.90833333,10,1,0,7.962,2.00E-05,452.9943805,454.745955,452.9943805,454.745955,452.9943805,454.7459583,0.001844486,0.000100804,0.001965292,0.0021,1.534868121,2.417638643
10/13/2017,BA,In,7.44057776,7.57,2165.9,,,2100,,20,Low,8,33.90833333,20,1,0,7.57,4.11E-05,1260.020329,1264.314482,1260.020329,1264.314482,1260.020329,1264.314503,0.001942126,6.32E-05,0.002046404,0.0021,0.988731062,1.524212327
10/13/2017,BB,Out,7.790462458,7.937,2041.5,0.108553829,-32.74724121,2100,,20,High,8,33.90833333,20,1,0,7.937,1.60E-05,491.9980347,493.6733098,491.9980347,493.6733098,491.9980347,493.673313,0.001765482,0.000133756,0.001915277,0.0021,2.092492904,3.225754306
10/13/2017,AB,Out,7.697464555,7.9,2078.3,-0.008608457,-4.484326172,2100,,10,High,8,33.90833333,10,1,0,7.9,2.35E-05,531.0960888,533.1498298,531.0960888,533.1498298,531.0960888,533.1498344,0.001874803,8.88E-05,0.001987083,0.0021,1.352543852,2.130451624
10/13/2017,AA,Out,7.339899109,7.515,2197.7,-0.001765161,0.616943359,2100,,10,Low,8,33.90833333,10,1,0,7.515,6.07E-05,1375.45406,1380.777791,1375.45406,1380.777791,1375.45406,1380.777822,0.002000915,3.91E-05,0.002100718,0.0021,0.594873114,0.937010945
10/13/2017,BA,Out,7.44057776,7.57,2165.9,0.175977086,-52.00561523,2100,,20,Low,8,33.90833333,20,1,0,7.57,4.11E-05,1260.020329,1264.314482,1260.020329,1264.314482,1260.020329,1264.314503,0.001942126,6.32E-05,0.002046404,0.0021,0.988731062,1.524212327
10/16/2017,BB,In,7.697,7.84,2078.5,,,2085,,20,High,8,33.90833333,20,1,0,7.84,2.06E-05,630.7546711,632.902756,630.7546711,632.902756,630.7546711,632.9027612,0.001810341,0.000109701,0.001940604,0.002085,1.716173143,2.645625653
10/16/2017,AB,In,7.697,7.9,2078.5,,,2085,,10,High,8,33.90833333,10,1,0,7.9,2.33E-05,527.2146813,529.2534044,527.2146813,529.2534044,527.2146813,529.2534089,0.001861101,8.82E-05,0.001972561,0.002085,1.342659061,2.114881653
10/16/2017,AA,In,7.34817966,7.524,2195.1,,,2085,,10,Low,8,33.90833333,10,1,0,7.524,5.90E-05,1336.200924,1341.372506,1336.200924,1341.372506,1336.200924,1341.372535,0.001984515,3.96E-05,0.002083076,0.002085,0.602351532,0.948790531
10/16/2017,BA,In,7.383728022,7.509,2183.8,,,2085,,20,Low,8,33.90833333,20,1,0,7.509,4.74E-05,1453.87625,1458.832149,1453.87625,1458.832149,1453.87625,1458.832177,0.001947275,5.51E-05,0.002049736,0.002085,0.861446018,1.327991697
10/16/2017,BB,Out,7.846815197,7.994,2017.2,0.1614754,-63.91323242,2085,,20,High,8,33.90833333,20,1,0,7.994,1.37E-05,418.9083177,420.3346011,418.9083177,420.3346011,418.9083177,420.3346034,0.001714032,0.000148071,0.001875759,0.002085,2.316432287,3.570975753
10/16/2017,AB,Out,7.827245721,8.036,2025.8,0.174878956,-66.4076416,2085,,10,High,8,33.90833333,10,1,0,8.036,1.64E-05,370.8427448,372.2765391,370.8427448,372.2765391,370.8427448,372.2765413,0.001790492,0.000116031,0.001922898,0.002085,1.766721272,2.782840793
10/16/2017,AA,Out,NA,NA,NA,#VALUE!,#VALUE!,2085,,10,Low,,,,,,,,,,,,,,,,,,,
10/16/2017,BA,Out,7.61999647,7.76,2106.5,0.189594311,-59.37670898,2085,,20,Low,8,33.90833333,20,1,0,7.76,2.53E-05,775.5449256,778.1865377,775.5449256,778.1865377,775.5449256,778.1865456,0.001851428,9.33E-05,0.001970027,0.002085,1.459847823,2.250478552
10/18/2017,BB,In,7.707,7.85,2074.7,,,2086,,20,High,8,33.90833333,20,1,0,7.85,2.00E-05,614.8112324,616.9049829,614.8112324,616.9049829,614.8112324,616.9049878,0.001805684,0.000111968,0.001937694,0.002086,1.75163018,2.700285666
10/18/2017,AB,In,7.664,7.865,2090.7,,,2086,,10,High,8,33.90833333,10,1,0,7.865,2.55E-05,576.5315579,578.7611072,576.5315579,578.7611072,576.5315579,578.7611126,0.001877611,8.21E-05,0.001985142,0.002086,1.249687241,1.968437629
10/18/2017,AA,In,7.362296,7.54,2190.6,,,2086,,10,Low,8,33.90833333,10,1,0,7.54,5.68E-05,1286.166849,1291.14451,1286.166849,1291.14451,1286.166849,1291.144537,0.001981891,4.10E-05,0.002079673,0.002086,0.624130725,0.983095901
10/18/2017,BA,In,7.196382,7.31,2244.6,,,2086,,20,Low,8,33.90833333,20,1,0,7.31,7.68E-05,2357.363993,2365.407853,2357.363993,2365.407853,2357.363993,2365.407926,0.001996763,3.57E-05,0.002109321,0.002086,0.558633881,0.861181246
10/18/2017,BB,Out,8.034111,8.186,1924.1,0.346,-154.4,2086,,20,High,8,33.90833333,20,1,0,8.186,7.99E-06,245.043959,245.8781113,245.043959,245.8781113,245.043959,245.8781121,0.001560069,0.000209698,0.001777756,0.002086,3.280534628,5.057220831
10/18/2017,AB,Out,7.867106,8.077,2008.1,0.177,-70.4,2086,,10,High,8,33.90833333,10,1,0,8.077,1.47E-05,332.9523651,334.2396104,332.9523651,334.2396104,332.9523651,334.2396122,0.001766707,0.000125825,0.001907234,0.002086,1.915844937,3.017732071
10/18/2017,AA,Out,7.621106,7.82,2106.1,0.295708297,-88.95249023,2086,,10,Low,8,33.90833333,10,1,0,7.82,2.85E-05,645.8195111,648.3171968,645.8195111,648.3171968,645.8195111,648.3172036,0.001896242,7.47E-05,0.001999488,0.002086,1.137861526,1.792296
10/18/2017,BA,Out,7.196382,7.31,2244.6,-0.199348588,60.77163086,2086,,20,Low,8,33.90833333,20,1,0,7.31,7.68E-05,2357.363993,2365.407853,2357.363993,2365.407853,2357.363993,2365.407926,0.001996763,3.57E-05,0.002109321,0.002086,0.558633881,0.861181246
10/20/2017,BB,In,7.727811,7.875,2064.2,,,2086,,20,High,8,33.90833333,20,1,0,7.875,1.88E-05,575.8264046,577.787305,575.8264046,577.787305,575.8264046,577.7873093,0.001791395,0.000117664,0.001927831,0.002086,1.840738948,2.837654348
10/20/2017,AB,In,7.697216,7.901,2076.2,,,2086,,10,High,8,33.90833333,10,1,0,7.901,2.32E-05,526.1301846,528.1647116,526.1301846,528.1647116,526.1301846,528.1647161,0.001861554,8.84E-05,0.001973191,0.002086,1.346081854,2.120273046
10/20/2017,AA,In,7.377445,7.556,2185.8,,,2086,,10,Low,8,33.90833333,10,1,0,7.556,5.46E-05,1237.327174,1242.115565,1237.327174,1242.115565,1237.327174,1242.11559,0.001978186,4.24E-05,0.00207527,0.002086,0.646342632,1.018082858
10/20/2017,BA,In,7.486033,7.618,2151.3,,,2086,,20,Low,8,33.90833333,20,1,0,7.618,3.62E-05,1110.758183,1114.543012,1110.758183,1114.543012,1110.758183,1114.543028,0.001912139,6.95E-05,0.002017846,0.002086,1.087226795,1.676051809
10/20/2017,BB,Out,8.355817,8.512,1715.9,0.661731776,-358.8,2086,,20,High,8,33.90833333,20,1,0,8.512,2.94E-06,90.09520659,90.40184518,90.09520659,90.40184518,90.09520659,90.40184529,0.001215071,0.000345981,0.001563989,0.002086,5.412554862,8.343909848
10/20/2017,AB,Out,8.086284,8.302,1894.5,0.436905127,-196.2,2086,,10,High,8,33.90833333,10,1,0,8.302,7.93E-06,179.6950354,180.3896486,179.6950354,180.3896486,179.6950354,180.3896491,0.001600732,0.000191391,0.001800057,0.002086,2.914166289,4.590232173
10/20/2017,AA,Out,7.967315,8.18,1959.6,0.64,-231,2086,,10,Low,8,33.90833333,10,1,0,8.18,1.11E-05,252.332713,253.3081849,252.332713,253.3081849,252.332713,253.3081859,0.00169729,0.000153235,0.001861667,0.002086,2.333199145,3.675125137
10/20/2017,BA,Out,8.339788,8.496,1727.6,1.186,-517,2086,,20,Low,8,33.90833333,20,1,0,8.496,3.09E-06,94.91947352,95.24253325,94.91947352,95.24253325,94.91947352,95.24253337,0.00123383,0.000338615,0.001575539,0.002086,5.297316805,8.166260664
10/23/2017,BB,In,7.754813,7.9,2056,,,2090,,20,High,8,33.90833333,20,1,0,7.9,1.76E-05,540.1613547,542.0007283,540.1613547,542.0007283,540.1613547,542.0007321,0.001780014,0.000123844,0.001921467,0.00209,1.937421593,2.9866988
10/23/2017,AB,In,7.724888,7.929,2067.8,,,2090,,10,High,8,33.90833333,10,1,0,7.929,2.17E-05,490.7363481,492.6339356,490.7363481,492.6339356,490.7363481,492.6339395,0.001851956,9.38E-05,0.001967432,0.00209,1.42832316,2.249814963
10/23/2017,AA,In,7.386308,7.566,2183,,,2090,,10,Low,8,33.90833333,10,1,0,7.566,5.34E-05,1210.050264,1214.732957,1210.050264,1214.732957,1210.050264,1214.73298,0.001979639,4.35E-05,0.002076539,0.00209,0.661883664,1.042562224
10/23/2017,BA,In,7.43799,7.567,2166.7,,,2090,,20,Low,8,33.90833333,20,1,0,7.567,4.12E-05,1263.275956,1267.58122,1263.275956,1267.58122,1263.275956,1267.581241,0.00193374,6.25E-05,0.002037418,0.00209,0.977684784,1.507183558
10/23/2017,BB,Out,8.670316,8.833,1472.2,0.958,-592,2090,,20,High,8,33.90833333,20,1,0,8.833,9.60E-07,29.45958857,29.55984725,29.45958857,29.55984725,29.45958857,29.55984726,0.000832006,0.000496109,0.001329076,0.00209,7.761171911,11.96450113
10/23/2017,AB,Out,8.53428,8.76,1579.7,0.859,-496.5,2090,,10,High,8,33.90833333,10,1,0,8.76,1.93E-06,43.73726987,43.90631182,43.73726987,43.90631182,43.73726987,43.90631185,0.001118495,0.000383916,0.001504342,0.00209,5.845611137,9.207680569
10/23/2017,AA,Out,8.361249,8.582,1711.9,1.026,-473.9,2090,,10,Low,8,33.90833333,10,1,0,8.582,3.45E-06,78.09083151,78.39265921,78.09083151,78.39265921,78.09083151,78.39265931,0.001325509,0.000301984,0.001630941,0.00209,4.598098799,7.242668725
10/23/2017,BA,Out,8.665047,8.828,1476.4,1.21,-674.9,2090,,20,Low,8,33.90833333,20,1,0,8.828,9.78E-07,30.01054343,30.11267722,30.01054343,30.11267722,30.01054343,30.11267723,0.000837864,0.000493884,0.001332726,0.00209,7.726351923,11.91082318
